Team,Maps,RW%,OpK,MultiK,5v4%,4v5%,Traded%,ADR,FA,Map Name
AIRLYA,1,61.9%,57.1%,0.95,83.3%,33.3%,29.0%,37.6,0.10,Mirage
Newhappy,3,59.1%,56.1%,0.85,71.1%,42.9%,18.8%,26.2,0.26,Mirage
PALOMA,1,65.0%,55.0%,0.75,81.8%,44.4%,19.6%,15.3,0.15,Mirage
Clutch,3,57.4%,40.3%,0.94,85.2%,39.0%,24.4%,22.5,0.16,Mirage
LBS HBG,2,56.8%,43.2%,0.89,81.2%,38.1%,19.8%,19.4,0.14,Mirage
FPL Friends,1,61.9%,38.1%,0.95,75.0%,53.8%,28.4%,26.1,0.19,Mirage
Glamour,2,61.9%,71.4%,0.88,73.3%,33.3%,26.5%,20.9,0.21,Mirage
Portugal fe,1,61.9%,61.9%,1.05,84.6%,25.0%,20.0%,21.0,0.05,Mirage
Evil Geniuses,3,57.6%,50.8%,0.83,80.0%,34.5%,21.3%,20.1,0.32,Mirage
NOFEAR5,1,59.1%,59.1%,0.95,76.9%,33.3%,21.4%,16.2,0.09,Mirage
CENSORED fe,1,65.0%,70.0%,0.85,78.6%,33.3%,8.1%,12.8,0.15,Mirage
Latvia,5,58.4%,49.5%,0.93,86.0%,31.4%,24.3%,16.0,0.20,Mirage
LT5,3,60.9%,53.1%,0.98,91.2%,26.7%,21.5%,16.2,0.06,Mirage
LBS Helsingborg,1,46.7%,40.0%,0.80,66.7%,33.3%,17.8%,22.0,0.03,Mirage
TYLOO,16,57.8%,57.4%,0.87,77.0%,32.2%,21.7%,16.8,0.28,Mirage
ex-GUILD fe,1,55.2%,51.7%,0.86,80.0%,28.6%,16.5%,23.8,0.17,Mirage
Fisher Tsunami,2,59.1%,52.3%,0.93,82.6%,33.3%,25.4%,25.3,0.14,Mirage
Fort Arena,2,60.5%,55.3%,0.82,90.5%,23.5%,19.8%,16.1,0.34,Mirage
NRG,36,56.3%,53.9%,0.89,77.8%,31.2%,22.4%,19.5,0.29,Mirage
CUBE,2,54.7%,51.6%,0.92,81.8%,25.8%,21.6%,32.2,0.19,Mirage
OMiT,8,53.3%,56.8%,0.93,72.9%,27.4%,25.3%,16.0,0.20,Mirage
Rocket,11,58.4%,51.3%,0.83,80.6%,35.2%,22.2%,29.5,0.18,Mirage
NAVI Javelins,8,54.9%,54.3%,0.91,75.0%,31.1%,19.8%,17.8,0.16,Mirage
Partizan,5,55.6%,60.3%,0.85,71.4%,31.9%,21.3%,21.5,0.21,Mirage
hypewrld,3,56.1%,54.4%,0.95,74.2%,34.6%,20.6%,18.7,0.21,Mirage
Atrix,11,58.3%,56.5%,0.88,78.7%,31.9%,21.5%,17.4,0.27,Mirage
L&G,8,55.2%,52.9%,0.91,74.7%,33.3%,18.4%,16.8,0.19,Mirage
Tropa do Taco,4,59.3%,54.3%,0.77,81.8%,32.4%,20.8%,16.1,0.36,Mirage
Mission Possible,1,59.1%,40.9%,0.86,66.7%,53.8%,16.4%,19.9,0.09,Mirage
Rooster,22,56.4%,54.2%,0.89,77.1%,31.7%,20.5%,17.9,0.30,Mirage
BUHAWI,2,56.8%,59.5%,0.97,68.2%,40.0%,18.5%,30.0,0.19,Mirage
Homyno,7,59.6%,53.2%,0.89,78.0%,38.8%,24.2%,25.1,0.26,Mirage
TÓR,1,68.4%,63.2%,0.79,75.0%,57.1%,21.7%,25.7,0.47,Mirage
Onyx Ravens,3,54.5%,45.5%,0.94,76.7%,36.1%,21.2%,15.3,0.24,Mirage
GameHunters,1,65.0%,35.0%,0.80,85.7%,53.8%,33.3%,12.1,0.30,Mirage
ex-iNation,2,53.7%,51.9%,0.89,71.4%,34.6%,19.5%,26.2,0.19,Mirage
Vitality,27,56.7%,53.4%,0.86,78.5%,31.8%,22.2%,21.2,0.25,Mirage
The Neighbours,3,53.1%,58.0%,0.91,78.7%,17.6%,21.2%,22.2,0.27,Mirage
Kosovo,3,60.3%,46.6%,0.90,81.5%,41.9%,22.1%,14.4,0.21,Mirage
Hungary,5,56.3%,52.4%,0.83,81.5%,28.6%,24.1%,17.7,0.28,Mirage
Spirit Academy,27,55.2%,55.2%,0.88,75.4%,30.2%,21.3%,17.0,0.20,Mirage
ENTiTY,2,56.1%,56.1%,0.96,75.0%,32.0%,26.3%,27.6,0.23,Mirage
Limitless Angels,4,50.0%,55.6%,0.86,62.5%,34.4%,22.3%,23.1,0.43,Mirage
Dewa United,6,52.8%,51.2%,0.87,72.3%,32.3%,18.8%,20.1,0.11,Mirage
ex-sYnck,4,54.9%,52.7%,0.79,81.2%,25.6%,18.6%,21.1,0.12,Mirage
Nouns,54,55.2%,50.4%,0.87,78.4%,31.7%,22.5%,21.9,0.29,Mirage
AK BARS,2,50.0%,50.0%,0.86,81.8%,18.2%,21.5%,16.8,0.09,Mirage
MOUZ,34,57.0%,49.6%,0.85,79.3%,35.1%,19.4%,18.3,0.24,Mirage
Kubix,2,57.8%,55.6%,0.89,84.0%,25.0%,17.5%,20.4,0.16,Mirage
Alter Ego,4,61.1%,53.9%,0.90,83.3%,35.7%,26.5%,17.8,0.30,Mirage
HOTU,13,56.1%,55.4%,0.85,75.3%,32.2%,18.0%,15.6,0.23,Mirage
Qiang,3,58.3%,62.5%,0.85,73.9%,30.8%,18.6%,17.3,0.21,Mirage
Legacy,32,55.4%,55.2%,0.87,77.6%,28.2%,21.7%,19.2,0.24,Mirage
undefined,8,56.6%,50.5%,0.84,79.8%,33.0%,21.5%,20.3,0.29,Mirage
Bounty Hunters,19,54.4%,51.8%,0.84,70.9%,36.8%,19.8%,18.8,0.19,Mirage
Fluxo,62,54.4%,52.0%,0.82,75.4%,31.7%,20.1%,17.9,0.18,Mirage
Imperial,58,55.0%,51.4%,0.83,78.2%,30.6%,20.8%,18.4,0.22,Mirage
Wu-Tang,1,45.8%,45.8%,0.96,75.0%,16.7%,16.2%,17.9,0.21,Mirage
PERA,21,56.2%,49.7%,0.85,77.5%,35.1%,21.1%,24.4,0.21,Mirage
Spirit,37,54.4%,53.7%,0.86,77.6%,27.6%,20.9%,20.8,0.17,Mirage
ALLINNERS,3,60.9%,52.2%,0.90,77.8%,42.4%,25.9%,25.4,0.07,Mirage
Aurora,60,55.0%,53.0%,0.88,75.8%,31.6%,19.7%,20.7,0.20,Mirage
NewBALLS,2,52.5%,65.0%,0.80,65.4%,28.6%,18.9%,11.1,0.23,Mirage
MIBR fe,9,54.8%,52.0%,0.92,75.5%,32.6%,21.3%,15.1,0.24,Mirage
Turkey,4,55.2%,52.4%,0.95,74.5%,34.0%,16.2%,22.1,0.23,Mirage
Pantsu,1,53.3%,46.7%,0.97,85.7%,25.0%,19.6%,27.8,0.13,Mirage
IKLA,1,61.9%,38.1%,0.86,62.5%,61.5%,20.5%,33.2,0.05,Mirage
DRILLAS,13,55.7%,55.1%,0.91,72.8%,34.9%,19.9%,19.2,0.18,Mirage
M80,26,54.7%,57.9%,0.86,77.0%,23.6%,19.4%,22.0,0.30,Mirage
Gods Reign,17,53.6%,57.3%,0.81,73.0%,27.7%,19.5%,18.5,0.23,Mirage
Natus Vincere,38,55.9%,52.7%,0.86,77.6%,31.6%,21.0%,16.6,0.21,Mirage
RED Canids Academy,1,61.9%,61.9%,0.67,84.6%,25.0%,22.4%,19.1,0.10,Mirage
Johnny Speeds,63,55.2%,53.6%,0.87,76.3%,30.7%,19.1%,18.7,0.22,Mirage
Lore,5,55.8%,52.9%,0.86,80.0%,28.6%,21.1%,21.6,0.16,Mirage
CYBERSHOKE,27,52.3%,49.4%,0.86,74.1%,30.8%,21.1%,17.7,0.14,Mirage
Fearless Cheetahs,5,53.2%,54.3%,0.95,72.5%,30.2%,21.5%,24.6,0.27,Mirage
ex-Enterprise,3,49.3%,46.3%,0.90,77.4%,25.0%,18.8%,20.7,0.15,Mirage
For Fun,2,51.2%,34.1%,0.80,85.7%,33.3%,18.3%,20.0,0.17,Mirage
The MongolZ,47,54.4%,49.7%,0.83,75.7%,33.3%,18.3%,21.0,0.18,Mirage
Bromo,8,57.2%,56.0%,0.84,74.4%,34.8%,21.5%,20.3,0.30,Mirage
Monarch Realm,1,54.2%,41.7%,1.04,80.0%,35.7%,23.3%,16.0,0.17,Mirage
Metizport,70,55.3%,51.6%,0.87,74.9%,34.3%,22.4%,18.0,0.21,Mirage
Bad News Bears,3,54.4%,52.6%,1.05,71.0%,34.6%,14.8%,16.5,0.19,Mirage
ex-ThunderFlash,1,53.3%,60.0%,0.93,77.8%,16.7%,16.5%,41.0,0.17,Mirage
ECLOT,65,52.6%,50.2%,0.85,70.9%,34.2%,20.3%,17.1,0.17,Mirage
-72c,8,53.1%,54.8%,0.88,70.1%,32.5%,18.5%,22.3,0.16,Mirage
Sangal,43,54.9%,51.5%,0.86,76.9%,31.6%,21.2%,19.5,0.17,Mirage
Drippy Lab,3,51.6%,60.9%,0.95,71.8%,20.0%,17.8%,20.3,0.20,Mirage
adalYamigos,9,55.5%,51.6%,0.79,77.7%,31.8%,20.1%,19.5,0.15,Mirage
RUBY,22,53.4%,53.1%,0.87,74.9%,29.2%,20.4%,17.8,0.16,Mirage
Strife,6,54.2%,44.2%,0.93,75.5%,37.3%,24.8%,24.1,0.20,Mirage
Revenge,2,51.3%,64.1%,0.92,68.0%,21.4%,19.9%,8.6,0.31,Mirage
dream catchers fe,8,51.1%,50.8%,0.84,75.0%,26.1%,20.8%,16.9,0.18,Mirage
500,37,53.4%,50.3%,0.83,73.7%,32.9%,19.4%,18.8,0.19,Mirage
Vikings KR,27,52.8%,49.0%,0.81,76.4%,30.3%,18.9%,18.4,0.16,Mirage
G3,4,51.1%,46.7%,0.87,71.4%,33.3%,20.8%,20.0,0.18,Mirage
Monte,63,51.9%,52.9%,0.85,72.5%,28.7%,20.3%,17.9,0.19,Mirage
FaZe,31,53.7%,50.7%,0.84,76.9%,29.8%,19.9%,17.8,0.17,Mirage
devils.one,1,54.2%,45.8%,0.83,72.7%,38.5%,20.5%,13.4,0.12,Mirage
Onliners5,2,55.3%,48.9%,0.96,87.0%,25.0%,15.4%,15.4,0.11,Mirage
PARIVISION,51,51.9%,51.2%,0.82,73.1%,29.7%,21.6%,16.6,0.20,Mirage
red demon,1,56.5%,34.8%,0.87,75.0%,46.7%,25.0%,18.7,0.13,Mirage
Arcade,7,53.2%,57.1%,0.88,70.0%,30.3%,20.4%,18.8,0.23,Mirage
cspojat,1,44.1%,38.2%,0.94,61.5%,33.3%,25.8%,17.8,0.18,Mirage
Final Form,4,49.4%,57.3%,0.84,72.5%,18.4%,22.4%,9.8,0.16,Mirage
Insomnia,2,52.5%,47.5%,0.90,73.7%,33.3%,20.2%,16.9,0.10,Mirage
GL Prism,2,60.5%,51.2%,0.86,81.8%,38.1%,15.3%,17.3,0.07,Mirage
Enigma,1,59.1%,50.0%,1.05,81.8%,36.4%,28.2%,15.9,0.09,Mirage
Kraken,1,43.5%,43.5%,1.00,80.0%,15.4%,14.0%,9.1,0.30,Mirage
Esprots,2,59.1%,52.3%,0.89,78.3%,38.1%,20.4%,9.7,0.18,Mirage
SR Nacague,4,52.3%,48.9%,0.88,74.4%,31.1%,16.8%,20.2,0.30,Mirage
RKON,5,53.8%,55.8%,0.81,69.0%,34.8%,19.1%,26.0,0.21,Mirage
Bad News Chickens,9,51.4%,50.3%,0.79,68.5%,34.1%,22.6%,19.8,0.21,Mirage
Project G,4,51.1%,60.9%,0.77,67.9%,25.0%,21.9%,21.1,0.18,Mirage
B8,89,53.7%,48.9%,0.86,76.4%,32.1%,21.8%,18.1,0.17,Mirage
ECSTATIC,20,53.4%,47.1%,0.86,78.9%,30.8%,21.1%,23.2,0.19,Mirage
The Suspect,12,53.3%,55.3%,0.87,71.8%,30.1%,22.1%,19.3,0.24,Mirage
cleanup crew fe,4,44.9%,53.8%,0.90,71.4%,13.9%,22.1%,20.4,0.23,Mirage
ATOX,10,54.3%,48.9%,0.85,73.6%,35.4%,18.4%,22.8,0.25,Mirage
GARAZA,2,51.1%,36.2%,1.00,82.4%,33.3%,26.8%,14.7,0.13,Mirage
RED Canids,64,51.9%,51.2%,0.82,73.3%,29.2%,20.3%,17.7,0.17,Mirage
fightclub,3,56.1%,59.1%,0.91,69.2%,37.0%,19.5%,28.8,0.14,Mirage
MOUZ NXT,1,56.5%,56.5%,0.96,76.9%,30.0%,23.4%,10.7,0.13,Mirage
Astralis,24,51.8%,52.3%,0.84,70.6%,30.9%,17.7%,27.0,0.18,Mirage
BetBoom,46,54.5%,50.4%,0.82,77.6%,31.1%,20.5%,20.8,0.21,Mirage
KingPins,2,48.9%,55.6%,0.69,68.0%,25.0%,16.9%,9.2,0.24,Mirage
SNOGARD Dragons,2,54.3%,48.6%,0.83,82.4%,27.8%,13.8%,18.4,0.31,Mirage
BEE,2,57.5%,35.0%,0.85,85.7%,42.3%,14.8%,18.2,0.23,Mirage
9 Pandas,39,52.6%,51.4%,0.82,75.8%,28.0%,21.2%,18.6,0.21,Mirage
iNation,5,51.4%,50.5%,0.86,64.2%,38.5%,16.6%,18.0,0.24,Mirage
Knaeskydd,2,55.3%,50.0%,0.87,78.9%,31.6%,18.9%,21.3,0.24,Mirage
ex-Guild Eagles,3,58.8%,47.1%,0.84,75.0%,44.4%,22.9%,12.8,0.20,Mirage
Let's go golfing,3,58.1%,41.9%,0.84,76.9%,44.4%,18.5%,23.8,0.23,Mirage
Elevate,32,53.8%,53.1%,0.83,71.9%,33.3%,19.3%,23.5,0.18,Mirage
France fe,2,46.7%,48.9%,0.93,72.7%,21.7%,20.4%,11.7,0.13,Mirage
Betera,5,52.0%,52.0%,0.85,68.8%,33.9%,19.6%,20.7,0.25,Mirage
Superfkrs,2,57.8%,51.1%,0.69,73.9%,40.9%,19.6%,17.3,0.18,Mirage
777,6,50.4%,54.5%,0.76,71.6%,25.0%,19.8%,16.9,0.24,Mirage
Aurora Young Blud,33,53.2%,51.0%,0.85,74.3%,31.6%,20.4%,22.9,0.21,Mirage
Dreams To Legends,1,43.5%,65.2%,0.91,60.0%,12.5%,25.0%,17.8,0.04,Mirage
Trouble makers,9,54.7%,51.6%,0.82,81.6%,26.1%,19.0%,16.8,0.26,Mirage
Seleção do bt0,1,45.8%,33.3%,1.00,75.0%,31.2%,14.0%,20.5,0.12,Mirage
TSM,50,51.2%,50.5%,0.82,72.6%,29.3%,19.0%,21.8,0.20,Mirage
DMS,39,48.6%,51.4%,0.82,70.7%,25.3%,16.7%,16.6,0.20,Mirage
Cloud9,30,52.8%,52.1%,0.81,73.6%,29.8%,21.5%,18.7,0.22,Mirage
paiN,49,52.6%,52.1%,0.80,73.7%,29.8%,17.9%,18.8,0.22,Mirage
ex-ENEIDA,4,48.5%,51.0%,0.77,62.7%,34.0%,19.3%,18.4,0.08,Mirage
kONO,21,49.1%,53.0%,0.82,71.2%,24.1%,17.2%,16.6,0.17,Mirage
Guild Eagles,32,53.6%,49.2%,0.85,71.9%,35.8%,21.3%,24.5,0.20,Mirage
Nemiga,26,52.4%,52.0%,0.86,75.1%,27.8%,19.5%,20.5,0.17,Mirage
Badass,7,55.9%,54.5%,0.87,71.8%,36.9%,21.5%,18.7,0.19,Mirage
HEROIC,34,51.2%,51.6%,0.81,70.1%,31.2%,18.9%,19.6,0.21,Mirage
SovvyKiNG,3,41.9%,48.4%,0.89,66.7%,18.8%,17.4%,15.0,0.10,Mirage
BIG EQUIPA,16,53.0%,49.7%,0.81,80.2%,25.7%,20.9%,17.4,0.13,Mirage
BESTIA,56,53.3%,53.1%,0.83,71.8%,32.4%,21.3%,17.7,0.28,Mirage
BIG Academy,4,47.1%,50.6%,0.80,68.2%,24.4%,22.9%,10.4,0.14,Mirage
Endpoint,76,52.1%,49.8%,0.80,73.4%,30.9%,21.2%,20.2,0.16,Mirage
GUN5,37,52.5%,50.1%,0.83,72.9%,32.0%,18.6%,15.6,0.17,Mirage
MIBR Academy,12,50.4%,49.6%,0.79,68.9%,32.5%,19.3%,18.7,0.19,Mirage
Into the Breach,49,52.5%,50.5%,0.82,72.4%,32.2%,20.5%,21.1,0.19,Mirage
TIMACETA,3,52.5%,47.5%,0.77,69.0%,37.5%,17.4%,23.3,0.26,Mirage
M1X KS,2,55.3%,46.8%,0.94,72.7%,40.0%,22.9%,25.5,0.19,Mirage
The Art of War,10,52.2%,51.3%,0.83,73.9%,29.4%,19.8%,27.9,0.23,Mirage
K27,7,52.9%,53.9%,0.86,71.4%,31.0%,17.0%,18.1,0.25,Mirage
Galorys,14,49.8%,43.8%,0.77,79.7%,26.9%,18.1%,12.8,0.21,Mirage
The Huns,14,49.3%,51.8%,0.86,64.5%,33.1%,19.6%,23.0,0.22,Mirage
SEAW,2,47.7%,50.0%,0.91,68.2%,27.3%,22.9%,23.0,0.11,Mirage
ARCRED,25,49.9%,51.0%,0.80,73.6%,25.3%,21.1%,16.0,0.13,Mirage
E-Xolos LAZER,17,47.2%,50.1%,0.77,68.1%,26.1%,20.5%,16.7,0.22,Mirage
ROFLAN SQUAD,1,45.8%,43.5%,0.88,70.0%,28.6%,22.0%,11.9,0.08,Mirage
Passion UA,78,50.9%,51.4%,0.82,72.6%,28.0%,20.2%,20.0,0.15,Mirage
BC.Game,18,51.2%,49.0%,0.82,75.9%,27.5%,20.4%,20.3,0.18,Mirage
esmagaB,1,56.5%,68.2%,0.78,73.3%,25.0%,21.4%,17.8,0.17,Mirage
Winter,1,54.2%,58.3%,0.83,64.3%,40.0%,20.0%,19.4,0.29,Mirage
RESILIENCE,2,45.7%,47.8%,0.91,72.7%,20.8%,20.4%,16.2,0.11,Mirage
Poland fe,3,52.6%,54.4%,0.81,77.4%,23.1%,16.1%,7.4,0.28,Mirage
INFINITE,9,49.8%,48.8%,0.82,74.5%,26.2%,19.0%,18.1,0.18,Mirage
30 Seconds To Win,1,56.5%,56.5%,1.00,76.9%,30.0%,24.0%,15.4,0.17,Mirage
LEON,4,48.8%,50.0%,0.90,70.7%,26.8%,17.3%,15.2,0.16,Mirage
ex-FORZE Ladies,2,51.1%,57.8%,0.76,65.4%,31.6%,12.0%,15.0,0.16,Mirage
Kungi,1,40.9%,45.5%,0.77,60.0%,25.0%,23.1%,18.0,0.23,Mirage
GUILD fe,8,48.5%,53.8%,0.78,69.6%,24.1%,18.8%,11.0,0.18,Mirage
The Witchers,9,51.0%,50.0%,0.75,72.1%,29.8%,22.1%,19.0,0.21,Mirage
Sharks,52,50.5%,51.3%,0.81,72.2%,27.7%,20.9%,17.7,0.20,Mirage
QUAZAR,6,51.6%,50.4%,0.84,73.8%,29.5%,22.1%,17.5,0.16,Mirage
Shimmer,15,53.2%,45.1%,0.85,78.4%,32.5%,16.0%,18.0,0.21,Mirage
Let Her Cook,9,47.8%,43.4%,0.84,79.8%,23.3%,18.7%,17.8,0.15,Mirage
Juggernauts,2,48.1%,48.1%,0.69,72.0%,25.9%,17.9%,20.6,0.13,Mirage
Revenant,25,49.3%,52.2%,0.83,68.8%,28.2%,19.2%,17.7,0.19,Mirage
SGGT,4,51.9%,53.1%,0.80,69.8%,31.6%,20.1%,14.3,0.21,Mirage
The Chosen Few,8,48.8%,50.0%,0.82,69.5%,28.0%,17.2%,24.2,0.20,Mirage
FLuffy Gangsters,17,48.8%,54.8%,0.81,67.3%,26.1%,19.3%,19.5,0.17,Mirage
Secret,11,50.0%,53.8%,0.83,72.4%,23.9%,19.7%,19.2,0.16,Mirage
FORZE,22,49.6%,48.9%,0.76,71.8%,28.2%,18.2%,18.4,0.20,Mirage
Permitta,94,51.4%,51.7%,0.80,73.1%,28.3%,19.2%,18.9,0.21,Mirage
Capcarap,1,45.8%,66.7%,0.96,56.2%,25.0%,21.6%,30.4,0.12,Mirage
Sampi,71,50.3%,50.8%,0.78,72.0%,27.9%,18.6%,19.9,0.25,Mirage
True Rippers,12,49.4%,48.0%,0.86,70.9%,29.7%,20.7%,17.4,0.21,Mirage
VP.Prodigy,8,51.9%,56.3%,0.80,73.0%,24.6%,20.6%,16.2,0.27,Mirage
FlyQuest,9,52.5%,55.7%,0.80,72.5%,27.2%,19.0%,27.9,0.25,Mirage
Sprout,10,49.7%,51.8%,0.75,72.5%,25.3%,15.0%,19.8,0.22,Mirage
RUNnGUN,2,48.8%,58.1%,0.84,60.0%,33.3%,15.0%,24.4,0.19,Mirage
OG,14,50.5%,47.4%,0.81,74.3%,28.8%,16.8%,17.3,0.20,Mirage
Espionage,25,51.1%,46.7%,0.79,74.8%,30.3%,19.9%,19.2,0.18,Mirage
GALAXY,1,45.8%,41.7%,0.83,60.0%,35.7%,19.0%,18.1,0.21,Mirage
Enterprise Gen,1,43.5%,43.5%,0.70,80.0%,15.4%,15.4%,15.9,0.22,Mirage
Virtus.pro,29,52.5%,52.2%,0.78,71.8%,31.3%,20.0%,19.0,0.23,Mirage
Eternal Fire,24,49.6%,52.7%,0.77,70.0%,27.2%,16.0%,17.7,0.14,Mirage
NOM,13,50.0%,50.3%,0.75,73.0%,26.7%,20.1%,18.9,0.22,Mirage
Falcons,21,48.7%,52.4%,0.78,67.8%,27.5%,16.7%,20.8,0.20,Mirage
Kappa Bar,8,44.5%,48.4%,0.85,68.0%,22.5%,16.0%,20.8,0.17,Mirage
Liquid,25,47.4%,46.3%,0.76,73.2%,25.3%,19.0%,18.7,0.23,Mirage
BOSS,26,47.4%,51.7%,0.81,69.6%,23.6%,20.2%,18.1,0.18,Mirage
Bad News Kangaroos,11,48.0%,52.0%,0.76,70.8%,23.5%,17.5%,18.9,0.28,Mirage
NAVI Junior,28,48.8%,50.3%,0.81,69.0%,28.4%,20.2%,21.3,0.20,Mirage
Pompa,2,46.3%,34.1%,0.71,78.6%,29.6%,26.1%,15.5,0.24,Mirage
Spirit fe,12,47.2%,50.8%,0.83,74.0%,19.5%,16.0%,14.8,0.14,Mirage
privateshow,1,54.2%,50.0%,0.79,75.0%,33.3%,17.9%,17.6,0.29,Mirage
panelinha,1,47.2%,47.2%,0.78,64.7%,31.6%,17.1%,17.6,0.25,Mirage
sunday school,4,51.4%,52.7%,0.85,70.0%,29.4%,19.4%,30.5,0.20,Mirage
LBS Nyköping,1,45.8%,33.3%,0.79,62.5%,37.5%,18.0%,13.8,0.12,Mirage
ex-Sprout,2,49.1%,49.1%,0.91,84.6%,14.8%,19.7%,14.8,0.11,Mirage
bullpeek,1,54.2%,62.5%,0.71,66.7%,33.3%,16.9%,17.5,0.21,Mirage
Sashi,52,50.8%,49.8%,0.79,72.6%,29.2%,19.5%,20.1,0.17,Mirage
Wisby Gymnasiet,1,53.3%,60.0%,0.77,66.7%,33.3%,24.1%,28.8,0.03,Mirage
NITRO,4,51.3%,52.6%,0.78,75.0%,25.0%,16.4%,17.4,0.14,Mirage
Zero Tenacity,72,50.2%,50.6%,0.80,71.2%,28.7%,18.8%,17.6,0.18,Mirage
9 Pandas Fearless,1,46.7%,53.3%,0.93,81.2%,7.1%,14.0%,22.1,0.17,Mirage
