Team,Maps,Won - Lost,Pistol win %,Round 2 conv,Round 2 break,Map Name
Galorys,49,38 - 60,38.8%,78.9%,6.7%,Ancient
DASH,9,9 - 9,50.0%,88.9%,11.1%,Ancient
OneDay fe,5,5 - 5,50.0%,100.0%,0.0%,Ancient
SWEET BONANZERS,1,2 - 0,100.0%,100.0%,-,Ancient
TOG,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Mindfreak,21,22 - 20,52.4%,81.8%,25.0%,Ancient
Fisher Tsunami,1,2 - 0,100.0%,50.0%,-,Ancient
Secret,13,13 - 13,50.0%,100.0%,0.0%,Ancient
Xiaoma,1,1 - 1,50.0%,100.0%,0.0%,Ancient
ARCRED,29,31 - 27,53.4%,83.9%,11.1%,Ancient
sunday school,6,4 - 8,33.3%,75.0%,25.0%,Ancient
WahWah,3,2 - 4,33.3%,100.0%,25.0%,Ancient
Lazer Cats,2,3 - 1,75.0%,100.0%,0.0%,Ancient
Walkover,1,1 - 1,50.0%,100.0%,0.0%,Ancient
TALON,7,5 - 9,35.7%,100.0%,11.1%,Ancient
RGW,1,2 - 0,100.0%,100.0%,-,Ancient
lajtbitexe,7,7 - 7,50.0%,85.7%,28.6%,Ancient
NOM,13,12 - 14,46.2%,91.7%,7.1%,Ancient
ex-Sprout,2,0 - 4,0.0%,-,25.0%,Ancient
AK BARS,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Dusty Roots,27,26 - 28,48.1%,80.8%,25.0%,Ancient
complicated,1,1 - 1,50.0%,0.0%,0.0%,Ancient
Crescent fe,7,6 - 8,42.9%,83.3%,0.0%,Ancient
Czech Republic,2,0 - 4,0.0%,-,25.0%,Ancient
GODSENT,20,19 - 21,47.5%,73.7%,14.3%,Ancient
Hype,27,22 - 32,40.7%,81.8%,6.2%,Ancient
Zomblers Academy,1,2 - 0,100.0%,100.0%,-,Ancient
KRÜ,34,30 - 38,44.1%,83.3%,13.2%,Ancient
Rhyno,25,21 - 29,42.0%,100.0%,6.9%,Ancient
Sheer Conquer,2,1 - 3,25.0%,100.0%,33.3%,Ancient
GL Academy,8,8 - 8,50.0%,100.0%,0.0%,Ancient
Haspers,2,0 - 4,0.0%,-,0.0%,Ancient
GenOne,14,12 - 16,42.9%,75.0%,6.2%,Ancient
NewBALLS,3,3 - 3,50.0%,100.0%,0.0%,Ancient
PGE Turow,6,5 - 7,41.7%,80.0%,28.6%,Ancient
WOPA,11,17 - 5,77.3%,76.5%,0.0%,Ancient
Blue Otter Karma,4,3 - 5,37.5%,66.7%,20.0%,Ancient
OMiT,6,4 - 8,33.3%,100.0%,12.5%,Ancient
Madness,1,0 - 2,0.0%,-,0.0%,Ancient
Flying Angels,1,2 - 0,100.0%,100.0%,-,Ancient
Portugal,3,1 - 5,16.7%,100.0%,0.0%,Ancient
LaChampionsLiga,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Angel numbers,2,1 - 3,25.0%,100.0%,0.0%,Ancient
AVEZ,1,0 - 2,0.0%,-,0.0%,Ancient
EK Violet,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Molotov,7,6 - 8,42.9%,100.0%,50.0%,Ancient
Belgium,1,0 - 2,0.0%,-,50.0%,Ancient
OVERFRAG,2,3 - 1,75.0%,33.3%,100.0%,Ancient
HyperSpirit,2,2 - 2,50.0%,100.0%,50.0%,Ancient
GUILD fe,6,7 - 5,58.3%,83.3%,0.0%,Ancient
For Fun,1,0 - 2,0.0%,-,100.0%,Ancient
ShindeN,3,3 - 3,50.0%,100.0%,0.0%,Ancient
Akimbo,12,10 - 14,41.7%,90.0%,0.0%,Ancient
Patins da Ferrari,23,24 - 22,52.2%,87.5%,4.5%,Ancient
Noobs But Diligent,1,0 - 2,0.0%,-,50.0%,Ancient
The QUBE,6,7 - 5,58.3%,71.4%,20.0%,Ancient
Mai Mee Tang,1,1 - 1,50.0%,100.0%,100.0%,Ancient
SNOGARD Dragons,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Mythic,25,27 - 23,54.0%,74.1%,26.1%,Ancient
Lemondogs,2,2 - 2,50.0%,100.0%,0.0%,Ancient
GHR,1,1 - 1,50.0%,100.0%,0.0%,Ancient
FengDa,1,0 - 2,0.0%,-,0.0%,Ancient
Monarch Realm,2,2 - 2,50.0%,100.0%,0.0%,Ancient
FORZE Reload,3,3 - 3,50.0%,100.0%,33.3%,Ancient
FURIA Academy,9,7 - 11,38.9%,100.0%,9.1%,Ancient
NomadS,5,6 - 4,60.0%,100.0%,25.0%,Ancient
Pikejagarna,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Yawara,11,6 - 16,27.3%,66.7%,12.5%,Ancient
Enterprise Gen,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Marca Registrada,2,0 - 4,0.0%,-,50.0%,Ancient
ENCE Athena,9,7 - 11,38.9%,100.0%,0.0%,Ancient
Nigma Galaxy,3,3 - 3,50.0%,33.3%,33.3%,Ancient
Dewa United,6,9 - 3,75.0%,77.8%,33.3%,Ancient
ABT,1,0 - 2,0.0%,-,100.0%,Ancient
Astralis Talent,22,19 - 25,43.2%,73.7%,20.0%,Ancient
Smoke,3,4 - 2,66.7%,75.0%,0.0%,Ancient
INFINITE,9,8 - 10,44.4%,100.0%,20.0%,Ancient
Vex Dragons,2,3 - 1,75.0%,100.0%,0.0%,Ancient
ADEPTS,3,3 - 3,50.0%,66.7%,0.0%,Ancient
Viperio,17,13 - 21,38.2%,76.9%,19.0%,Ancient
Grannys Knockers,8,10 - 6,62.5%,70.0%,0.0%,Ancient
LEON,14,11 - 17,39.3%,63.6%,5.9%,Ancient
PeeP,2,3 - 1,75.0%,66.7%,0.0%,Ancient
REAL MADRID,1,2 - 0,100.0%,100.0%,-,Ancient
Arcade,5,3 - 7,30.0%,100.0%,14.3%,Ancient
Eternal Fire,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Lotus fe,7,6 - 8,42.9%,100.0%,0.0%,Ancient
Vantage,10,10 - 10,50.0%,80.0%,10.0%,Ancient
Forward,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Spain,1,1 - 1,50.0%,100.0%,100.0%,Ancient
9z Academy,13,15 - 11,57.7%,73.3%,9.1%,Ancient
Corinthians,17,18 - 16,52.9%,88.9%,12.5%,Ancient
Back2TheGame,2,2 - 2,50.0%,100.0%,0.0%,Ancient
NITRO,5,3 - 7,30.0%,100.0%,0.0%,Ancient
Genei Ryodan,1,0 - 2,0.0%,-,0.0%,Ancient
MIGHT,16,16 - 16,50.0%,68.8%,12.5%,Ancient
Elocon,1,2 - 0,100.0%,100.0%,-,Ancient
WICKED,3,4 - 2,66.7%,100.0%,0.0%,Ancient
The Boys,1,2 - 0,100.0%,100.0%,-,Ancient
jahsdnmasjdm,4,3 - 5,37.5%,100.0%,20.0%,Ancient
ThunderFlash,5,2 - 8,20.0%,100.0%,0.0%,Ancient
Argentina fe,1,0 - 2,0.0%,-,0.0%,Ancient
NKT,8,8 - 8,50.0%,62.5%,12.5%,Ancient
Carpe Diem,13,16 - 10,61.5%,81.2%,20.0%,Ancient
Gostivar,1,2 - 0,100.0%,100.0%,-,Ancient
ex-Preasy,6,4 - 8,33.3%,50.0%,12.5%,Ancient
ONi,4,4 - 4,50.0%,100.0%,0.0%,Ancient
ARAVT,1,0 - 2,0.0%,-,0.0%,Ancient
EVO-Cyber,1,1 - 1,50.0%,100.0%,0.0%,Ancient
DXA,6,5 - 7,41.7%,40.0%,28.6%,Ancient
Daugava,1,1 - 1,50.0%,100.0%,100.0%,Ancient
Evil Geniuses,3,4 - 2,66.7%,50.0%,0.0%,Ancient
The Neighbours,2,2 - 2,50.0%,100.0%,0.0%,Ancient
Sashi Academy,2,2 - 2,50.0%,50.0%,50.0%,Ancient
Villainous,2,2 - 2,50.0%,100.0%,50.0%,Ancient
30 Seconds To Win,1,0 - 2,0.0%,-,50.0%,Ancient
awesome academy,2,1 - 3,25.0%,100.0%,33.3%,Ancient
Revenge Nation,11,10 - 12,45.5%,80.0%,8.3%,Ancient
AntyDPM,1,1 - 1,50.0%,100.0%,0.0%,Ancient
500 Rush,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Limitless,30,24 - 36,40.0%,83.3%,11.1%,Ancient
RKON,4,3 - 5,37.5%,100.0%,0.0%,Ancient
SPORT,4,5 - 3,62.5%,80.0%,0.0%,Ancient
Young Gods,5,3 - 7,30.0%,66.7%,14.3%,Ancient
vagrants,1,1 - 1,50.0%,100.0%,0.0%,Ancient
WiLD,1,1 - 1,50.0%,100.0%,0.0%,Ancient
EXDHQ,1,2 - 0,100.0%,100.0%,-,Ancient
Metizport X,4,2 - 6,25.0%,50.0%,33.3%,Ancient
G2 Ares,7,3 - 11,21.4%,100.0%,18.2%,Ancient
2GAME,7,10 - 4,71.4%,90.0%,0.0%,Ancient
NoVum,4,3 - 5,37.5%,33.3%,0.0%,Ancient
After Hours,1,1 - 1,50.0%,100.0%,0.0%,Ancient
devils.one,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Nirvana,3,4 - 2,66.7%,25.0%,0.0%,Ancient
Datejust,4,2 - 6,25.0%,100.0%,0.0%,Ancient
Take Flyte,21,13 - 29,31.0%,92.3%,21.4%,Ancient
XBL,1,0 - 2,0.0%,-,50.0%,Ancient
ex-Corinthians,2,0 - 4,0.0%,-,0.0%,Ancient
my life be like,5,4 - 6,40.0%,100.0%,0.0%,Ancient
WG Bandits,6,4 - 8,33.3%,100.0%,12.5%,Ancient
KG fe,4,2 - 6,25.0%,50.0%,0.0%,Ancient
BEE,4,3 - 5,37.5%,100.0%,0.0%,Ancient
showmakerz,3,2 - 4,33.3%,100.0%,0.0%,Ancient
VERYGOLD,1,0 - 2,0.0%,-,50.0%,Ancient
System5,4,2 - 6,25.0%,50.0%,33.3%,Ancient
Soda,1,1 - 1,50.0%,0.0%,0.0%,Ancient
Iran fe,1,1 - 1,50.0%,0.0%,0.0%,Ancient
POGGERZ,2,1 - 3,25.0%,100.0%,33.3%,Ancient
INGLORIOUS,6,3 - 9,25.0%,100.0%,22.2%,Ancient
GENKID4M4,4,2 - 6,25.0%,100.0%,0.0%,Ancient
zespollah,1,1 - 1,50.0%,100.0%,0.0%,Ancient
ALL-IN,1,2 - 0,100.0%,100.0%,-,Ancient
bullpeek,2,1 - 3,25.0%,100.0%,0.0%,Ancient
SUBUTAI,2,0 - 4,0.0%,-,0.0%,Ancient
Victores Sumus,2,1 - 3,25.0%,100.0%,0.0%,Ancient
Wave,3,2 - 4,33.3%,100.0%,0.0%,Ancient
Vibe,6,3 - 9,25.0%,66.7%,22.2%,Ancient
Come Mid,1,0 - 2,0.0%,-,0.0%,Ancient
HAVU,24,19 - 29,39.6%,52.6%,6.9%,Ancient
Hawks,4,2 - 6,25.0%,100.0%,0.0%,Ancient
Bluekillers,2,1 - 3,25.0%,100.0%,0.0%,Ancient
Above The Rest,2,2 - 2,50.0%,100.0%,0.0%,Ancient
4Point5,1,0 - 2,0.0%,-,0.0%,Ancient
Wings Up,2,3 - 1,75.0%,100.0%,0.0%,Ancient
Trouble makers,4,3 - 5,37.5%,66.7%,0.0%,Ancient
Kario Mart,2,1 - 3,25.0%,100.0%,33.3%,Ancient
Imperial,3,2 - 4,33.3%,100.0%,0.0%,Ancient
The Prodigies SE,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Fort Arena,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Jake Bube,3,2 - 4,33.3%,50.0%,0.0%,Ancient
ROUX,1,1 - 1,50.0%,0.0%,100.0%,Ancient
Ikari,1,2 - 0,100.0%,100.0%,-,Ancient
FORZE Ladies,1,0 - 2,0.0%,-,0.0%,Ancient
NOVA,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Sharks Youngsters,4,3 - 5,37.5%,100.0%,0.0%,Ancient
Vanir,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Project G,1,0 - 2,0.0%,-,0.0%,Ancient
NeedDOCTOR,1,2 - 0,100.0%,100.0%,-,Ancient
MANTRA,4,3 - 5,37.5%,100.0%,0.0%,Ancient
QM fe,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Priority,1,0 - 2,0.0%,-,0.0%,Ancient
Comedy Club,1,1 - 1,50.0%,100.0%,0.0%,Ancient
cspojat,1,1 - 1,50.0%,100.0%,0.0%,Ancient
RazDva,1,2 - 0,100.0%,50.0%,-,Ancient
VELOX,3,3 - 3,50.0%,100.0%,0.0%,Ancient
Phoenix,2,1 - 3,25.0%,0.0%,66.7%,Ancient
Kari,1,1 - 1,50.0%,0.0%,0.0%,Ancient
privateshow,1,2 - 0,100.0%,50.0%,-,Ancient
TEMP,2,1 - 3,25.0%,100.0%,0.0%,Ancient
Pompa,1,0 - 2,0.0%,-,50.0%,Ancient
Old School,1,0 - 2,0.0%,-,0.0%,Ancient
paiN Academy,4,4 - 4,50.0%,50.0%,0.0%,Ancient
iM Apartments,1,2 - 0,100.0%,50.0%,-,Ancient
jefet,2,1 - 3,25.0%,0.0%,33.3%,Ancient
Astralis W,6,5 - 7,41.7%,40.0%,0.0%,Ancient
EGO,1,1 - 1,50.0%,100.0%,0.0%,Ancient
618 KS,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Halal5,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Imperium Nexus,1,0 - 2,0.0%,-,0.0%,Ancient
BESTIA Academy,3,1 - 5,16.7%,100.0%,20.0%,Ancient
los kogutos,1,1 - 1,50.0%,0.0%,0.0%,Ancient
YeYO,2,0 - 4,0.0%,-,0.0%,Ancient
Uruguay3,1,2 - 0,100.0%,0.0%,-,Ancient
FlyingH1rsch,1,1 - 1,50.0%,100.0%,100.0%,Ancient
Floki,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Austria,2,1 - 3,25.0%,0.0%,33.3%,Ancient
GOT,1,2 - 0,100.0%,100.0%,-,Ancient
Asian Kings,1,0 - 2,0.0%,-,0.0%,Ancient
hypewrld,1,2 - 0,100.0%,0.0%,-,Ancient
EmbapeEnvape,1,2 - 0,100.0%,50.0%,-,Ancient
Unlucky Much?,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Aware fe,5,3 - 7,30.0%,66.7%,33.3%,Ancient
PEAK fe,6,5 - 7,41.7%,100.0%,0.0%,Ancient
GameHunters,1,1 - 1,50.0%,0.0%,0.0%,Ancient
Mission Possible,1,0 - 2,0.0%,-,50.0%,Ancient
straykids,3,2 - 4,33.3%,50.0%,0.0%,Ancient
ex-Anonymo,2,1 - 3,25.0%,100.0%,0.0%,Ancient
fightclub,2,2 - 2,50.0%,100.0%,0.0%,Ancient
The Last Resort,3,4 - 2,66.7%,75.0%,0.0%,Ancient
Virtuosos,1,2 - 0,100.0%,50.0%,-,Ancient
PUBG aim,3,3 - 3,50.0%,66.7%,0.0%,Ancient
ELUSIVEza's party,2,0 - 4,0.0%,-,0.0%,Ancient
Enigma,2,2 - 2,50.0%,50.0%,0.0%,Ancient
Wanted Goons,1,1 - 1,50.0%,100.0%,0.0%,Ancient
RUSTEC,3,2 - 4,33.3%,50.0%,25.0%,Ancient
Agency,1,1 - 1,50.0%,100.0%,0.0%,Ancient
LOCK IN,1,0 - 2,0.0%,-,50.0%,Ancient
One More,1,1 - 1,50.0%,100.0%,0.0%,Ancient
CAPIVARAS,6,5 - 7,41.7%,80.0%,0.0%,Ancient
Moldova,1,2 - 0,100.0%,50.0%,-,Ancient
Incheon On Sla2ers,1,2 - 0,100.0%,50.0%,-,Ancient
Antic,1,0 - 2,0.0%,-,0.0%,Ancient
ex-RAPTORS EC,1,1 - 1,50.0%,0.0%,0.0%,Ancient
Sojoga,1,1 - 1,50.0%,100.0%,0.0%,Ancient
FRAGMATIC,1,2 - 0,100.0%,100.0%,-,Ancient
FlyQuest RED,1,0 - 2,0.0%,-,0.0%,Ancient
Bad News Bricks,1,0 - 2,0.0%,-,0.0%,Ancient
Knaeskydd,1,1 - 1,50.0%,100.0%,0.0%,Ancient
personaa,1,0 - 2,0.0%,-,0.0%,Ancient
NCTDK,1,1 - 1,50.0%,0.0%,0.0%,Ancient
LOADING,1,0 - 2,0.0%,-,0.0%,Ancient
Kitsune,3,2 - 4,33.3%,50.0%,0.0%,Ancient
DANVIET,1,1 - 1,50.0%,100.0%,100.0%,Ancient
OG3OD,1,0 - 2,0.0%,-,0.0%,Ancient
Atlantic,1,0 - 2,0.0%,-,0.0%,Ancient
DEPO,1,2 - 0,100.0%,50.0%,-,Ancient
COVEN,5,6 - 4,60.0%,50.0%,0.0%,Ancient
ODG,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Tobikoerad,1,0 - 2,0.0%,-,0.0%,Ancient
Jordan,1,0 - 2,0.0%,-,0.0%,Ancient
LYG,3,0 - 6,0.0%,-,0.0%,Ancient
SAGA,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Last Dance,1,1 - 1,50.0%,100.0%,0.0%,Ancient
guardiaN5,1,0 - 2,0.0%,-,0.0%,Ancient
Superior,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Bad News Bears,2,1 - 3,25.0%,0.0%,0.0%,Ancient
LOT,1,1 - 1,50.0%,100.0%,0.0%,Ancient
XPERION NXT,1,1 - 1,50.0%,0.0%,0.0%,Ancient
plusW KS,1,0 - 2,0.0%,-,0.0%,Ancient
Revel,1,0 - 2,0.0%,-,0.0%,Ancient
Lore,3,2 - 4,33.3%,50.0%,0.0%,Ancient
LBS Helsingborg,1,0 - 2,0.0%,-,0.0%,Ancient
QUAZAR,2,0 - 4,0.0%,-,0.0%,Ancient
Akatsuki fe,1,0 - 2,0.0%,-,0.0%,Ancient
EXSAD,1,0 - 2,0.0%,-,0.0%,Ancient
Al-Ittihad,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Gelo,1,1 - 1,50.0%,100.0%,0.0%,Ancient
O PLANO C,1,0 - 2,0.0%,-,50.0%,Ancient
Canon Event,4,1 - 7,12.5%,100.0%,0.0%,Ancient
ZEROvariant,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Dripmen,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Winter,1,2 - 0,100.0%,50.0%,-,Ancient
LBSnykpg,1,1 - 1,50.0%,0.0%,0.0%,Ancient
Salao do Corte,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Spain fe,1,1 - 1,50.0%,100.0%,0.0%,Ancient
Unjustified fe,1,0 - 2,0.0%,-,0.0%,Ancient
Ninjas In Kandooras,1,1 - 1,50.0%,100.0%,0.0%,Ancient
BOGATYRI,1,0 - 2,0.0%,-,0.0%,Ancient
Southern5,1,0 - 2,0.0%,-,50.0%,Ancient
ROG Academy IN,1,1 - 1,50.0%,100.0%,0.0%,Ancient
4wb,1,0 - 2,0.0%,-,0.0%,Ancient
GRGECHI,1,0 - 2,0.0%,-,0.0%,Ancient
KAOS fe,1,0 - 2,0.0%,-,0.0%,Ancient
TREC,1,0 - 2,0.0%,-,0.0%,Ancient
Malmö,1,0 - 2,0.0%,-,0.0%,Ancient
SunDogs,1,0 - 2,0.0%,-,0.0%,Ancient
MYSKILL,1,2 - 0,100.0%,100.0%,-,Anubis
megoshort,1,2 - 0,100.0%,100.0%,-,Anubis
WahWah,1,2 - 0,100.0%,100.0%,-,Anubis
Denial,1,2 - 0,100.0%,100.0%,-,Anubis
RESILIENCE,1,2 - 0,100.0%,100.0%,-,Anubis
Honvéd,1,2 - 0,100.0%,100.0%,-,Anubis
Xtreme5,1,1 - 1,50.0%,100.0%,0.0%,Anubis
OMiT,2,3 - 1,75.0%,100.0%,0.0%,Anubis
Portugal,2,4 - 0,100.0%,75.0%,-,Anubis
Dreams To Legends,1,1 - 1,50.0%,0.0%,0.0%,Anubis
sunday school,1,1 - 1,50.0%,100.0%,100.0%,Anubis
RKON,1,1 - 1,50.0%,100.0%,100.0%,Anubis
Arrow,2,4 - 0,100.0%,100.0%,-,Anubis
Antic,1,1 - 1,50.0%,100.0%,0.0%,Anubis
M1X KS,2,4 - 0,100.0%,100.0%,-,Anubis
BUHAWI,1,2 - 0,100.0%,100.0%,-,Anubis
After Hours,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Kungi,2,2 - 2,50.0%,50.0%,50.0%,Anubis
Punishers,1,1 - 1,50.0%,100.0%,100.0%,Anubis
HeizerS,1,0 - 2,0.0%,-,50.0%,Anubis
En av de lette,1,1 - 1,50.0%,100.0%,0.0%,Anubis
DUSTY,2,2 - 2,50.0%,100.0%,0.0%,Anubis
Enterprise Gen,1,2 - 0,100.0%,100.0%,-,Anubis
Fort Arena,2,3 - 1,75.0%,50.0%,0.0%,Anubis
Goliath,1,1 - 1,50.0%,100.0%,100.0%,Anubis
Vaseline Worms,2,2 - 2,50.0%,50.0%,50.0%,Anubis
Insomnia,1,0 - 2,0.0%,-,0.0%,Anubis
GHR,1,1 - 1,50.0%,100.0%,100.0%,Anubis
11 minutos tarde,2,3 - 1,75.0%,66.7%,100.0%,Anubis
HAVENs,1,0 - 2,0.0%,-,50.0%,Anubis
Jake Bube,1,1 - 1,50.0%,100.0%,100.0%,Anubis
Xiaoma,1,2 - 0,100.0%,100.0%,-,Anubis
Fisher Tsunami,3,3 - 3,50.0%,33.3%,66.7%,Anubis
Spirit HU,1,0 - 2,0.0%,-,50.0%,Anubis
Shimmer,4,7 - 1,87.5%,83.3%,0.0%,Anubis
Tobikoerad,1,0 - 2,0.0%,-,0.0%,Anubis
The Neighbours,1,1 - 1,50.0%,100.0%,100.0%,Anubis
Freaky Saturday,2,3 - 1,75.0%,100.0%,0.0%,Anubis
LBS HBG,1,1 - 1,50.0%,100.0%,0.0%,Anubis
undefined,4,5 - 3,62.5%,80.0%,0.0%,Anubis
FreeESPI,1,2 - 0,100.0%,100.0%,-,Anubis
Blessed,4,6 - 2,75.0%,100.0%,50.0%,Anubis
ONi,4,6 - 2,75.0%,100.0%,0.0%,Anubis
JiJieHao,14,16 - 12,57.1%,87.5%,8.3%,Anubis
FURIA fe,12,15 - 9,62.5%,80.0%,11.1%,Anubis
SemperFi,2,2 - 2,50.0%,50.0%,0.0%,Anubis
GameHunters,5,5 - 5,50.0%,80.0%,20.0%,Anubis
Romania,1,2 - 0,100.0%,50.0%,-,Anubis
W7M fe,4,3 - 5,37.5%,100.0%,20.0%,Anubis
Serbia,2,1 - 3,25.0%,0.0%,33.3%,Anubis
Israel,2,2 - 2,50.0%,100.0%,100.0%,Anubis
POGGERZ,3,4 - 2,66.7%,100.0%,0.0%,Anubis
mYinsanity,2,2 - 2,50.0%,100.0%,0.0%,Anubis
Bravado,2,2 - 2,50.0%,100.0%,0.0%,Anubis
France fe,6,6 - 6,50.0%,100.0%,0.0%,Anubis
Grayhound,13,12 - 14,46.2%,91.7%,21.4%,Anubis
dream catchers fe,4,4 - 4,50.0%,100.0%,0.0%,Anubis
FlyQuest RED,13,14 - 12,53.8%,85.7%,16.7%,Anubis
Enigma,1,1 - 1,50.0%,100.0%,0.0%,Anubis
TYLOO,23,27 - 19,58.7%,88.9%,15.8%,Anubis
SovvyKiNG,1,1 - 1,50.0%,100.0%,0.0%,Anubis
BORING PLAYER,1,2 - 0,100.0%,100.0%,-,Anubis
NKT,5,6 - 4,60.0%,83.3%,25.0%,Anubis
Fraud5,1,1 - 1,50.0%,100.0%,0.0%,Anubis
INFURITY,1,1 - 1,50.0%,100.0%,0.0%,Anubis
VERYGOLD,2,3 - 1,75.0%,66.7%,0.0%,Anubis
Pak Boyz,1,1 - 1,50.0%,100.0%,0.0%,Anubis
panelinha,1,2 - 0,100.0%,100.0%,-,Anubis
8Sins,2,3 - 1,75.0%,100.0%,0.0%,Anubis
Liquid,35,37 - 33,52.9%,86.5%,18.2%,Anubis
Mai Mee Tang,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Wave,1,1 - 1,50.0%,100.0%,0.0%,Anubis
NewBALLS,2,2 - 2,50.0%,0.0%,50.0%,Anubis
Nordix,3,3 - 3,50.0%,100.0%,33.3%,Anubis
esmagaB,6,5 - 7,41.7%,100.0%,0.0%,Anubis
LOADING,1,2 - 0,100.0%,100.0%,-,Anubis
showmakerz,2,2 - 2,50.0%,100.0%,50.0%,Anubis
ClayMakers,1,1 - 1,50.0%,100.0%,0.0%,Anubis
30 Seconds To Win,1,2 - 0,100.0%,100.0%,-,Anubis
Lore,1,0 - 2,0.0%,-,50.0%,Anubis
Alter Ego,3,3 - 3,50.0%,100.0%,0.0%,Anubis
USA fe,6,6 - 6,50.0%,100.0%,16.7%,Anubis
Spectre,2,2 - 2,50.0%,100.0%,0.0%,Anubis
Wildcard,29,36 - 22,62.1%,86.1%,9.1%,Anubis
Maximum Ego,2,3 - 1,75.0%,66.7%,0.0%,Anubis
VP.Prodigy,22,27 - 17,61.4%,88.9%,29.4%,Anubis
Lumen fe,2,4 - 0,100.0%,75.0%,-,Anubis
FLUFFY MAFIA,4,7 - 1,87.5%,85.7%,0.0%,Anubis
Perseverance,3,2 - 4,33.3%,100.0%,0.0%,Anubis
Slovakia,3,4 - 2,66.7%,75.0%,0.0%,Anubis
Betera,6,9 - 3,75.0%,100.0%,33.3%,Anubis
ex-FORZE Ladies,2,1 - 3,25.0%,100.0%,33.3%,Anubis
BIG EQUIPA,9,10 - 8,55.6%,100.0%,12.5%,Anubis
Locke's Kittens,1,2 - 0,100.0%,50.0%,-,Anubis
shrekas,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Tunisia,1,1 - 1,50.0%,100.0%,0.0%,Anubis
Lotus,1,2 - 0,100.0%,100.0%,-,Anubis
GTZ,3,4 - 2,66.7%,100.0%,50.0%,Anubis
Nouns,10,12 - 8,60.0%,100.0%,12.5%,Anubis
Canada fe,2,2 - 2,50.0%,100.0%,0.0%,Anubis
ESC,2,3 - 1,75.0%,100.0%,0.0%,Anubis
Forward,2,2 - 2,50.0%,100.0%,0.0%,Anubis
NAVI Junior,35,42 - 28,60.0%,92.9%,14.3%,Anubis
Rooster,33,30 - 36,45.5%,83.3%,19.4%,Anubis
Wu-Tang,2,1 - 3,25.0%,100.0%,0.0%,Anubis
ex-ThunderFlash,2,2 - 2,50.0%,50.0%,50.0%,Anubis
Denmark fe,3,2 - 4,33.3%,100.0%,25.0%,Anubis
Gods Reign,29,32 - 26,55.2%,87.5%,11.5%,Anubis
Filhos de D10S,3,6 - 0,100.0%,83.3%,-,Anubis
M80,43,45 - 41,52.3%,91.1%,24.4%,Anubis
Villainous,1,1 - 1,50.0%,100.0%,100.0%,Anubis
NRG,40,40 - 40,50.0%,92.3%,15.0%,Anubis
BC.Game,8,10 - 6,62.5%,100.0%,33.3%,Anubis
CYBERSHOKE,64,77 - 51,60.2%,89.6%,17.6%,Anubis
Czech Republic,2,1 - 3,25.0%,100.0%,0.0%,Anubis
1WIN,25,21 - 29,42.0%,90.5%,17.2%,Anubis
Karma,3,1 - 5,16.7%,100.0%,20.0%,Anubis
Revenant,28,35 - 21,62.5%,91.4%,23.8%,Anubis
PERA,27,29 - 25,53.7%,75.9%,28.0%,Anubis
ODDIK,63,60 - 66,47.6%,90.0%,18.2%,Anubis
Meteor,4,4 - 4,50.0%,100.0%,50.0%,Anubis
FlyQuest,20,26 - 14,65.0%,80.8%,21.4%,Anubis
Nixuh,2,2 - 2,50.0%,100.0%,0.0%,Anubis
NAVI Javelins,16,19 - 13,59.4%,94.7%,0.0%,Anubis
Akimbo,8,6 - 10,37.5%,83.3%,20.0%,Anubis
HyperSpirit,1,0 - 2,0.0%,-,0.0%,Anubis
Eternal Fire,27,29 - 25,53.7%,89.7%,40.0%,Anubis
ShindeN,1,2 - 0,100.0%,100.0%,-,Anubis
Unjustified,3,3 - 3,50.0%,66.7%,33.3%,Anubis
Coalesce,2,3 - 1,75.0%,66.7%,0.0%,Anubis
